visibility,parent-FQN,method-name,param-list,return-type,param-signature,nested-invocations,noparam-constructor,tags
public,org.carlspring.commons.io.RecursiveMover,postVisitDirectory,"[java.nio.file.Path, java.io.IOException]",java.nio.file.FileVisitResult,Ljava/nio/file/Path;Ljava/io/IOException;,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
public,org.carlspring.commons.io.AbstractByteRangeInputStream,hasReachedLimit,[],boolean,,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.carlspring.commons.io.AbstractByteRangeInputStream,reposition,[],void,,{},false,"{multiple_statements=false, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=true, switches=false, returns=false, parameters=false, loops=false}"
public,org.carlspring.commons.io.ByteRangeInputStream,reposition,[],void,,{},false,"{multiple_statements=false, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=true, switches=false, returns=false, parameters=false, loops=false}"
public,org.carlspring.commons.io.MultipleDigestInputStream,reposition,[],void,,{},false,"{multiple_statements=false, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=true, switches=false, returns=false, parameters=false, loops=false}"
public,org.carlspring.commons.io.RandomInputStream,setCount,[long],void,J,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=false}"
public,org.carlspring.commons.io.RandomInputStream,getCount,[],long,,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.carlspring.commons.encryption.EncryptionAlgorithmsEnum,setAlgorithm,[java.lang.String],void,Ljava/lang/String;,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=false}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,getPath,[],java.nio.file.Path,,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,isGenerateChecksumFiles,[],boolean,,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.carlspring.commons.io.MultipleDigestInputStream,getMessageDigest,[java.lang.String],java.security.MessageDigest,Ljava/lang/String;,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestInputStream]#method[signature=getMessageDigest(java.lang.String)]#body#statement[index=0]#expression=java.util.Map.get(java.lang.Object)},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,getMessageDigest,[java.lang.String],java.security.MessageDigest,Ljava/lang/String;,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestOutputStream]#method[signature=getMessageDigest(java.lang.String)]#body#statement[index=0]#expression=java.util.Map.get(java.lang.Object)},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
public,org.carlspring.commons.io.MultipleDigestInputStream,read,[],int,,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestInputStream]#method[signature=read()]#body#statement[index=2]#then#statement[index=0]#expression=java.util.Map.entrySet()},false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=true, static=false, ifs=true, switches=false, returns=true, parameters=false, loops=true}"
public,org.carlspring.commons.io.MultipleDigestInputStream,read,"[byte[], int, int]",int,[BII,"{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestInputStream]#method[signature=read(byte[],int,int)]#body#statement[index=2]#then#statement[index=0]#expression=java.util.Map.entrySet()}",false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=true, static=false, ifs=true, switches=false, returns=true, parameters=true, loops=true}"
public,org.carlspring.commons.io.MultipleDigestInputStream,read,[byte[]],int,[B,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestInputStream]#method[signature=read(byte[])]#body#statement[index=2]#expression=java.util.Map.entrySet()},false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=true, static=false, ifs=true, switches=false, returns=true, parameters=true, loops=true}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,write,[int],void,I,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestOutputStream]#method[signature=write(int)]#body#statement[index=1]#expression=java.util.Map.entrySet()},false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=true}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,write,[byte[]],void,[B,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestOutputStream]#method[signature=write(byte[])]#body#statement[index=1]#expression=java.util.Map.entrySet()},false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=true}"
public,org.carlspring.commons.io.MultipleDigestOutputStream,write,"[byte[], int, int]",void,[BII,"{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=MultipleDigestOutputStream]#method[signature=write(byte[],int,int)]#body#statement[index=1]#expression=java.util.Map.entrySet()}",false,"{multiple_statements=true, conditionals=false, local_variables=true, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=true}"
public,org.carlspring.commons.io.RandomInputStream,read,[],int,,{#subPackage[name=org]#subPackage[name=carlspring]#subPackage[name=commons]#subPackage[name=io]#containedType[name=RandomInputStream]#method[signature=read()]#body#statement[index=2]#expression=java.util.Random.nextInt()},false,"{multiple_statements=true, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=true, switches=false, returns=true, parameters=false, loops=false}"
public,org.carlspring.commons.io.AbstractByteRangeInputStream,setReloadableInputStreamHandler,[org.carlspring.commons.io.reloading.ReloadableInputStreamHandler],void,Lorg/carlspring/commons/io/reloading/ReloadableInputStreamHandler;,{},false,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=false, parameters=true, loops=false}"
